# 070712 hashmap of PDBv2 naming to PDBv3 naming scheme 
 H50 NAZ, H50 NAZ
 H51 NAZ, H51 NAZ
 H52 NAZ, H52 NAZ
 H53 NAZ, H53 NAZ
 H54 NAZ, H54 NAZ
 H55 NAZ, H55 NAZ
 H56 NAZ, H56 NAZ
 H35 NAZ, H35 NAZ
 H57 NAZ, H57 NAZ
 H58 NAZ, H58 NAZ
 H59 NAZ, H59 NAZ
 H1  NB1, H1  NB1
 H2  NB1, H2  NB1
 H3  NB1, H3  NB1
 H4  NB1, H4  NB1
 HA  NB1, HA  NB1
 H5  NB1, H5  NB1
 HB  NB1, HB  NB1
H6C1 NB1,1H6C NB1
H6C2 NB1,2H6C NB1
 H6  NB1, H6  NB1
H8C1 NB1,1H8C NB1
H8C2 NB1,2H8C NB1
H9C1 NB1,1H9C NB1
H9C2 NB1,2H9C NB1
HMC1 NB1,1HMC NB1
HMC2 NB1,2HMC NB1
HMC3 NB1,3HMC NB1
 HO4 NBA,4HO  NBA
 HC4 NBA,4HC  NBA
HC51 NBA,1HC5 NBA
HC52 NBA,2HC5 NBA
HC61 NBA,1HC6 NBA
HC62 NBA,2HC6 NBA
 HN7 NBA,7HN  NBA
HC81 NBA,1HC8 NBA
HC82 NBA,2HC8 NBA
HC91 NBA,1HC9 NBA
HC92 NBA,2HC9 NBA
H101 NBA,1H10 NBA
H102 NBA,2H10 NBA
HN11 NBA,1HN1 NBA
H121 NBA,1H12 NBA
H122 NBA,2H12 NBA
H131 NBA,1H13 NBA
H132 NBA,2H13 NBA
H141 NBA,1H14 NBA
H142 NBA,2H14 NBA
HN51 NBA,1HN5 NBA
H161 NBA,1H16 NBA
H162 NBA,2H16 NBA
H163 NBA,3H16 NBA
HOL4 NBA,4HOL NBA
 H10 NBB, H10 NBB
H111 NBB,1H11 NBB
H112 NBB,2H11 NBB
H121 NBB,1H12 NBB
H122 NBB,2H12 NBB
H131 NBB,1H13 NBB
H132 NBB,2H13 NBB
H141 NBB,1H14 NBB
H142 NBB,2H14 NBB
H143 NBB,3H14 NBB
 H5  NBB, H5  NBB
 H6  NBB, H6  NBB
 H1  NBB, H1  NBB
 H2  NBB, H2  NBB
 H3  NBB, H3  NBB
 H28 NBC, H28 NBC
 H29 NBC, H29 NBC
 H30 NBC, H30 NBC
 H36 NBC, H36 NBC
 H37 NBC, H37 NBC
 H39 NBC, H39 NBC
 H40 NBC, H40 NBC
 H41 NBC, H41 NBC
 H38 NBC, H38 NBC
 H34 NBC, H34 NBC
 H35 NBC, H35 NBC
 H31 NBC, H31 NBC
 H33 NBC, H33 NBC
 H32 NBC, H32 NBC
 H27 NBC, H27 NBC
 H25 NBC, H25 NBC
 H26 NBC, H26 NBC
 H22 NBC, H22 NBC
 H23 NBC, H23 NBC
 H24 NBC, H24 NBC
 H19 NBC, H19 NBC
 H20 NBC, H20 NBC
 H21 NBC, H21 NBC
 H18 NBC, H18 NBC
 H17 NBC, H17 NBC
 H16 NBC, H16 NBC
 H14 NBC, H14 NBC
 H15 NBC, H15 NBC
 H12 NBC, H12 NBC
 H13 NBC, H13 NBC
 H11 NBC, H11 NBC
 H91 NBC,1H9  NBC
 H10 NBC, H10 NBC
 H71 NBC,1H7  NBC
 H81 NBC,1H8  NBC
 H51 NBC,1H5  NBC
 H61 NBC,1H6  NBC
H31A NBC,1H3  NBC
H41A NBC,1H4  NBC
H11A NBC,1H1  NBC
H21A NBC,1H2  NBC
HOA2 NBD,2HOA NBD
H51A NBD,AH51 NBD
H52A NBD,AH52 NBD
 H4B NBD,AH4* NBD
 H3B NBD,AH3* NBD
HO3A NBD,AHO3 NBD
 H2B NBD,AH2* NBD
HO2A NBD,AHO2 NBD
 H1B NBD,AH1* NBD
 H8A NBD, AH8 NBD
 H6A NBD, AH6 NBD
 H2A NBD, AH2 NBD
H51N NBD,NH51 NBD
H52N NBD,NH52 NBD
 H4D NBD,NH4* NBD
 H3D NBD,NH3* NBD
HO3N NBD,NHO3 NBD
 H2D NBD,NH2* NBD
HO2N NBD,NHO2 NBD
 H1D NBD,NH1* NBD
 H2N NBD, NH2 NBD
H71N NBD,NH71 NBD
H72N NBD,NH72 NBD
 H4N NBD, NH4 NBD
 H5N NBD, NH5 NBD
 H6N NBD, NH6 NBD
HB11 NBD,1HB1 NBD
HB12 NBD,2HB1 NBD
 HB3 NBD, HB3 NBD
 HB7 NBD, HB7 NBD
 HB4 NBD, HB4 NBD
 HB6 NBD, HB6 NBD
 HB5 NBD, HB5 NBD
 H2  NBE, H2  NBE
 H3  NBE, H3  NBE
 H4  NBE, H4  NBE
 H5  NBE, H5  NBE
 H6  NBE, H6  NBE
H251 NBF,1H25 NBF
H252 NBF,2H25 NBF
H253 NBF,3H25 NBF
H241 NBF,1H24 NBF
H242 NBF,2H24 NBF
 H10 NBF, H10 NBF
 H71 NBF,1H7  NBF
 H72 NBF,2H7  NBF
 HO1 NBF, HO1 NBF
 HO2 NBF, HO2 NBF
 H18 NBF, H18 NBF
 H20 NBF, H20 NBF
 H22 NBF, H22 NBF
 H17 NBF, H17 NBF
 H19 NBF, H19 NBF
 H21 NBF, H21 NBF
 H1  NBG, H1  NBG
 H2  NBG, H2  NBG
 H3  NBG, H3  NBG
 H4  NBG, H4  NBG
 H5  NBG, H5  NBG
 H61 NBG,1H6  NBG
 H62 NBG,2H6  NBG
 H81 NBG,1H8  NBG
 H82 NBG,2H8  NBG
 H83 NBG,3H8  NBG
 HN1 NBG, HN1 NBG
 HO3 NBG, HO3 NBG
 HO2 NBG, HO2 NBG
 HO4 NBG, HO4 NBG
 HO6 NBG, HO6 NBG
 H11 NBL,1H1  NBL
H12A NBL,2H1  NBL
H13A NBL,3H1  NBL
 H2  NBL, H2  NBL
 H31 NBL,1H3  NBL
 H32 NBL,2H3  NBL
 H33 NBL,3H3  NBL
 H41 NBL,1H4  NBL
 H42 NBL,2H4  NBL
 H5  NBL, H5  NBL
 HN6 NBL, HN6 NBL
H101 NBL,1H10 NBL
H102 NBL,2H10 NBL
 H12 NBL, H12 NBL
 H13 NBL, H13 NBL
 H14 NBL, H14 NBL
 H15 NBL, H15 NBL
 H16 NBL, H16 NBL
 H19 NBL, H19 NBL
 H20 NBL, H20 NBL
H211 NBL,1H21 NBL
H212 NBL,2H21 NBL
H221 NBL,1H22 NBL
H222 NBL,2H22 NBL
H241 NBL,1H24 NBL
H242 NBL,2H24 NBL
 H11 NBN,1H1  NBN
 H12 NBN,2H1  NBN
 H21 NBN,1H2  NBN
 H22 NBN,2H2  NBN
 H31 NBN,1H3  NBN
 H32 NBN,2H3  NBN
 H41 NBN,1H4  NBN
 H42 NBN,2H4  NBN
 H43 NBN,3H4  NBN
HOA2 NBP,2HOA NBP
H51A NBP,AH51 NBP
H52A NBP,AH52 NBP
 H4B NBP,AH4* NBP
 H3B NBP,AH3* NBP
HO3A NBP,AHO3 NBP
 H2B NBP,AH2* NBP
 H1B NBP,AH1* NBP
H61A NBP,AH61 NBP
H62A NBP,AH62 NBP
 H2A NBP, AH2 NBP
H51N NBP,NH51 NBP
H52N NBP,NH52 NBP
 H4D NBP,NH4* NBP
 H3D NBP,NH3* NBP
HO3N NBP,NHO3 NBP
 H2D NBP,NH2* NBP
HO2N NBP,NHO2 NBP
 H1D NBP,NH1* NBP
 H2N NBP, NH2 NBP
H71N NBP,NH71 NBP
H72N NBP,NH72 NBP
 H4N NBP, NH4 NBP
 H5N NBP, NH5 NBP
 H6N NBP, NH6 NBP
HOP2 NBP,2HOP NBP
HOP3 NBP,3HOP NBP
 H   NBQ, H   NBQ
 H2  NBQ, HN  NBQ
 HA  NBQ, HA  NBQ
 HB2 NBQ, HB1 NBQ
 HB3 NBQ, HB2 NBQ
 HQ2 NBQ, HQ2 NBQ
 HQ3 NBQ, HQ3 NBQ
 HQ4 NBQ, HQ4 NBQ
 HQ6 NBQ, HQ6 NBQ
 HQ5 NBQ, HQ5 NBQ
 HAC NBQ, HAC NBQ
 HAB NBQ, HAB NBQ
HAE1 NBQ,1HAE NBQ
HAE2 NBQ,2HAE NBQ
 HAP NBQ, HAP NBQ
 HAO NBQ, HAO NBQ
 HAM NBQ, HAM NBQ
 HAH NBQ, HAH NBQ
 HAJ NBQ, HAJ NBQ
 HAK NBQ, HAK NBQ
 HAL NBQ, HAL NBQ
 HO  NBQ, HO  NBQ
HOP4 NBS,4HOP NBS
HOP5 NBS,5HOP NBS
HOP1 NBS,1HOP NBS
H5'1 NBS,1H5* NBS
H5'2 NBS,2H5* NBS
 H4' NBS, H4* NBS
 H1' NBS, H1* NBS
 H2  NBS, H2  NBS
 H6  NBS, H6  NBS
HB11 NBS,1HB1 NBS
HB12 NBS,2HB1 NBS
 HB3 NBS, HB3 NBS
 HB4 NBS, HB4 NBS
 HB5 NBS, HB5 NBS
 HB6 NBS, HB6 NBS
 HB7 NBS, HB7 NBS
 H8  NBS, H8  NBS
 H2' NBS, H2* NBS
HO'2 NBS,2HO* NBS
 H3' NBS, H3* NBS
HO'3 NBS,3HO* NBS
H1C1 NBT,1H1C NBT
H1C2 NBT,2H1C NBT
H1C3 NBT,3H1C NBT
 H2  NBT, H2  NBT
H3C1 NBT,1H3C NBT
H3C2 NBT,2H3C NBT
H4C1 NBT,1H4C NBT
H4C2 NBT,2H4C NBT
H4C3 NBT,3H4C NBT
 H11 NBU, H11 NBU
 H12 NBU, H12 NBU
 H13 NBU, H13 NBU
 H21 NBU, H21 NBU
 H22 NBU, H22 NBU
 H31 NBU, H31 NBU
 H32 NBU, H32 NBU
 H41 NBU, H41 NBU
 H42 NBU, H42 NBU
 H43 NBU, H43 NBU
 H9  NBV, H9  NBV
H121 NBV,1H12 NBV
H122 NBV,2H12 NBV
 H11 NBV, H11 NBV
 H10 NBV, H10 NBV
 H1  NBV, H1  NBV
 HA  NBV, HA  NBV
 H8  NBV, H8  NBV
 HB  NBV, HB  NBV
 H7  NBV, H7  NBV
H7C1 NBV,1H7C NBV
H7C2 NBV,2H7C NBV
H131 NBV,1H13 NBV
H132 NBV,2H13 NBV
H141 NBV,1H14 NBV
H142 NBV,2H14 NBV
H151 NBV,1H15 NBV
H152 NBV,2H15 NBV
H161 NBV,1H16 NBV
H162 NBV,2H16 NBV
H163 NBV,3H16 NBV
 H1  NBZ, H1  NBZ
 H2  NBZ, H2  NBZ
 H3  NBZ, H3  NBZ
 H4  NBZ, H4  NBZ
 H5  NBZ, H5  NBZ
 HN   NC, HN   NC
 H11  NC,1H1   NC
 H12  NC,2H1   NC
 H13  NC,3H1   NC
 HN1  NC, HN1  NC
 H9  NC1, H9  NC1
 H8  NC1, H8  NC1
 H6  NC1, H6  NC1
 H7  NC1, H7  NC1
 H10 NC1, H10 NC1
 H11 NC1, H11 NC1
 H12 NC1, H12 NC1
 H13 NC1, H13 NC1
 H14 NC1, H14 NC1
 H15 NC1, H15 NC1
 H16 NC1, H16 NC1
 H5  NC1, H5  NC1
 H4  NC1, H4  NC1
 H1  NC1, H1  NC1
HC28 NC1,H2   NC1
 H3  NC1, H3  NC1
 H   NC1, H20 NC1
 H2  NC1, H21 NC1
 H19 NC1, H19 NC1
 HB2 NC1, H17 NC1
 HB3 NC1, H18 NC1
 H2  NC2, H2  NC2
 HN3 NC2, HN3 NC2
H6C1 NC2,1H6C NC2
H6C2 NC2,2H6C NC2
 H9  NC2, H9  NC2
 H10 NC2, H10 NC2
H131 NC2,1H13 NC2
H132 NC2,2H13 NC2
 H16 NC2, H16 NC2
 H17 NC2, H17 NC2
 H18 NC2, H18 NC2
 H20 NC2, H20 NC2
H221 NC2,1H22 NC2
H231 NC2,1H23 NC2
 H26 NC2, H26 NC2
 H28 NC2, H28 NC2
 H29 NC2, H29 NC2
 HN1 NC2,1HN  NC2
 HN2 NC2,2HN  NC2
 HA  NC2, HA  NC2
HBC1 NC2,1HBC NC2
HBC2 NC2,2HBC NC2
 H   NC2, H   NC2
 H1  NC3, H1  NC3
 HN2 NC3, HN2 NC3
 HN4 NC3, HN4 NC3
 H51 NC3,1H5  NC3
 H52 NC3,2H5  NC3
 HO7 NC3, HO7 NC3
H101 NC3,1H10 NC3
H102 NC3,2H10 NC3
H111 NC3,1H11 NC3
H112 NC3,2H11 NC3
H121 NC3,1H12 NC3
H122 NC3,2H12 NC3
H131 NC3,1H13 NC3
H132 NC3,2H13 NC3
H141 NC3,1H14 NC3
H142 NC3,2H14 NC3
 H1  NC4, H1  NC4
 HN2 NC4, HN2 NC4
 HN4 NC4, HN4 NC4
 H51 NC4,1H5  NC4
 H52 NC4,2H5  NC4
 H61 NC4,1H6  NC4
 H62 NC4,2H6  NC4
 H71 NC4,1H7  NC4
 H72 NC4,2H7  NC4
 HO9 NC4, HO9 NC4
H121 NC4,1H12 NC4
H122 NC4,2H12 NC4
H131 NC4,1H13 NC4
H132 NC4,2H13 NC4
H141 NC4,1H14 NC4
H142 NC4,2H14 NC4
H151 NC4,1H15 NC4
H152 NC4,2H15 NC4
H161 NC4,1H16 NC4
H162 NC4,2H16 NC4
 H1  NC6, H1  NC6
 HN2 NC6, HN2 NC6
 HN4 NC6, HN4 NC6
 H51 NC6,1H5  NC6
 H52 NC6,2H5  NC6
 H61 NC6,1H6  NC6
 H62 NC6,2H6  NC6
 H71 NC6,1H7  NC6
 H72 NC6,2H7  NC6
 H81 NC6,1H8  NC6
 H82 NC6,2H8  NC6
 H91 NC6,1H9  NC6
 H92 NC6,2H9  NC6
 H12 NC6, H12 NC6
H141 NC6,1H14 NC6
H142 NC6,2H14 NC6
H151 NC6,1H15 NC6
H152 NC6,2H15 NC6
H161 NC6,1H16 NC6
H162 NC6,2H16 NC6
H171 NC6,1H17 NC6
H172 NC6,2H17 NC6
H181 NC6,1H18 NC6
H182 NC6,2H18 NC6
 H1  NC7, H1  NC7
 HN2 NC7, HN2 NC7
 HN4 NC7, HN4 NC7
 H51 NC7,1H5  NC7
 H52 NC7,2H5  NC7
 H61 NC7,1H6  NC7
 H62 NC7,2H6  NC7
 H71 NC7,1H7  NC7
 H72 NC7,2H7  NC7
 H81 NC7,1H8  NC7
 H82 NC7,2H8  NC7
 H91 NC7,1H9  NC7
 H92 NC7,2H9  NC7
H111 NC7,1H11 NC7
H112 NC7,2H11 NC7
 H13 NC7, H13 NC7
H151 NC7,1H15 NC7
H152 NC7,2H15 NC7
H161 NC7,1H16 NC7
H162 NC7,2H16 NC7
H171 NC7,1H17 NC7
H172 NC7,2H17 NC7
H181 NC7,1H18 NC7
H182 NC7,2H18 NC7
H191 NC7,1H19 NC7
H192 NC7,2H19 NC7
 H2  NCA, H2  NCA
 H4  NCA, H4  NCA
 H5  NCA, H5  NCA
 H6  NCA, H6  NCA
HN71 NCA,1HN7 NCA
HN72 NCA,2HN7 NCA
 H   NCB, H   NCB
 HA  NCB, HA  NCB
 HXT NCB, HO  NCB
 HB3 NCB,3HB  NCB
 HB2 NCB,2HB  NCB
 HB1 NCB,1HB  NCB
 H22 NCB,2H2  NCB
 H21 NCB,1H2  NCB
 H3P NCC, H3P NCC
H5'1 NCC,1H5' NCC
H5'2 NCC,2H5' NCC
 H4' NCC, H4' NCC
 H1' NCC, H1' NCC
 H6  NCC, H6  NCC
 H5  NCC, H5  NCC
HN41 NCC,1HN4 NCC
HN42 NCC,2HN4 NCC
 H2' NCC, H2' NCC
 H1  NCC, H1  NCC
 H3' NCC, H3' NCC
 H2  NCC, H2  NCC
 H1B NCC, H1B NCC
 H12 NCC, H12 NCC
 H13 NCC, H13 NCC
 HO7 NCC, HO7 NCC
 H14 NCC, H14 NCC
 HO8 NCC, HO8 NCC
H151 NCC,1H15 NCC
H152 NCC,2H15 NCC
 HO9 NCC, HO9 NCC
 H16 NCC, H16 NCC
 HN5 NCC, HN5 NCC
H181 NCC,1H18 NCC
H182 NCC,2H18 NCC
H183 NCC,3H18 NCC
 H19 NCC, H19 NCC
 HO4 NCC, HO4 NCC
H201 NCC,1H20 NCC
H202 NCC,2H20 NCC
 H61 NCD,1H6  NCD
H611 NCD,1H61 NCD
 H11 NCD,1H1  NCD
 H31 NCD,1H3  NCD
 H32 NCD,2H3  NCD
 H51 NCD,1H5  NCD
 H52 NCD,2H5  NCD
HO51 NCD,1HO5 NCD
H2C1 NCF,1H2C NCF
H2C2 NCF,2H2C NCF
H3C1 NCF,1H3C NCF
H3C2 NCF,2H3C NCF
 H4A NCF, H4A NCF
 H6  NCF, H6  NCF
 H7  NCF, H7  NCF
 H8  NCF, H8  NCF
 H10 NCF, H10 NCF
H131 NCF,1H13 NCF
H132 NCF,2H13 NCF
 H15 NCF, H15 NCF
 H16 NCF, H16 NCF
 H17 NCF, H17 NCF
 H8  NCG, H8  NCG
 H2  NCG, H2  NCG
 H6  NCG, H6  NCG
 H5  NCG, H5  NCG
 H12 NCG, H12 NCG
 H11 NCG, H11 NCG
 H10 NCG, H10 NCG
 H13 NCG, H13 NCG
H14A NCG,H14A NCG
H14B NCG,H14B NCG
 H66 NCG, H66 NCG
 H8B NCG,H8'' NCG
 H6B NCG,H6'' NCG
 H3B NCG,H3'' NCG
 H4B NCG,H4'' NCG
 H92 NCG, H92 NCG
HNM1 NCG,HNM1 NCG
HNM2 NCG,HNM2 NCG
HNM3 NCG,HNM3 NCG
H7M1 NCG,H7M1 NCG
H7M2 NCG,H7M2 NCG
H7M3 NCG,H7M3 NCG
 H2' NCG, H2' NCG
 H1' NCG, H1' NCG
 H5' NCG, H5' NCG
 H3' NCG, H3' NCG
 H4' NCG, H4' NCG
H104 NCG,H104 NCG
HFM1 NCG,HFM1 NCG
HFM2 NCG,HFM2 NCG
HFM3 NCG,HFM3 NCG
H108 NCG,H108 NCG
H2M1 NCG,H2M1 NCG
H2M2 NCG,H2M2 NCG
H2M3 NCG,H2M3 NCG
H120 NCG,H120 NCG
 H9  NCG, H9  NCG
 HA  NCG, HA  NCG
 HB1 NCG, HB1 NCG
 HB2 NCG, HB2 NCG
 H3  NCG, H3  NCG
 H1  NCG, H1  NCG
 H7  NCG, H7  NCG
 H4  NCG, H4  NCG
 H14 NCG, H14 NCG
 H15 NCG, H15 NCG
 H16 NCG, H16 NCG
 H17 NCG, H17 NCG
 H18 NCG, H18 NCG
 H21 NCG, H21 NCG
 H19 NCG, H19 NCG
 H20 NCG, H20 NCG
 HO1 NCH, HO1 NCH
 H11 NCH,1H1  NCH
 H12 NCH,2H1  NCH
 H21 NCH,1H2  NCH
 H22 NCH,2H2  NCH
 H31 NCH,1H3  NCH
 H32 NCH,2H3  NCH
 H33 NCH,3H3  NCH
 H51 NCH,1H5  NCH
 H52 NCH,2H5  NCH
 H53 NCH,3H5  NCH
 H41 NCH,1H4  NCH
 H42 NCH,2H4  NCH
 H43 NCH,3H4  NCH
 H2A NCH, H2A NCH
 H3A NCH, H3A NCH
 H5A NCH, H5A NCH
 H6A NCH, H6A NCH
 H1  NCM, H1  NCM
 H31 NCM,1H3  NCM
 H32 NCM,2H3  NCM
 H4  NCM, H4  NCM
 H51 NCM,1H5  NCM
 H52 NCM,2H5  NCM
 H61 NCM,1H6  NCM
 H62 NCM,2H6  NCM
 H71 NCM,1H7  NCM
 H72 NCM,2H7  NCM
HOP1 NCN,1HOP NCN
H5'1 NCN,1H5* NCN
H5'2 NCN,2H5* NCN
 H4' NCN, H4* NCN
 H3' NCN, H3* NCN
HO'3 NCN,3HO* NCN
 H2' NCN, H2* NCN
HO'2 NCN,2HO* NCN
 H1' NCN, H1* NCN
 H6  NCN, H6  NCN
 H5  NCN, H5  NCN
 H4  NCN, H4  NCN
 H2  NCN, H2  NCN
 HO7 NCN, HO7 NCN
HN11 NCO,1HN1 NCO
HN12 NCO,2HN1 NCO
HN13 NCO,3HN1 NCO
HN21 NCO,1HN2 NCO
HN22 NCO,2HN2 NCO
HN23 NCO,3HN2 NCO
HN31 NCO,1HN3 NCO
HN32 NCO,2HN3 NCO
HN33 NCO,3HN3 NCO
HN41 NCO,1HN4 NCO
HN42 NCO,2HN4 NCO
HN43 NCO,3HN4 NCO
HN51 NCO,1HN5 NCO
HN52 NCO,2HN5 NCO
HN53 NCO,3HN5 NCO
HN61 NCO,1HN6 NCO
HN62 NCO,2HN6 NCO
HN63 NCO,3HN6 NCO
HN11 NCP,1HN1 NCP
HN12 NCP,2HN1 NCP
HN21 NCP,1HN2 NCP
HN22 NCP,2HN2 NCP
 H2  NCR, H2  NCR
 H5  NCR, H5  NCR
 H6  NCR, H6  NCR
 H71 NCR,1H7  NCR
 H72 NCR,2H7  NCR
 H73 NCR,3H7  NCR
 HO4 NCR, HO4 NCR
 H2  NCS, H2  NCS
 H5  NCS, H5  NCS
 H7  NCS, H7  NCS
 H8  NCS, H8  NCS
 HO9 NCS, HO9 NCS
 H10 NCS, H10 NCS
 H11 NCS, H11 NCS
 H12 NCS, H12 NCS
 H13 NCS, H13 NCS
H171 NCS,1H17 NCS
H172 NCS,2H17 NCS
 H22 NCS, H22 NCS
 H23 NCS, H23 NCS
 H26 NCS, H26 NCS
 H28 NCS, H28 NCS
H301 NCS,1H30 NCS
H302 NCS,2H30 NCS
H303 NCS,3H30 NCS
H311 NCS,1H31 NCS
H312 NCS,2H31 NCS
H313 NCS,3H31 NCS
 H1' NCS, H1* NCS
 H2' NCS, H2* NCS
HN21 NCS,1HN2 NCS
HN22 NCS,2HN2 NCS
HM21 NCS,1HM2 NCS
HM22 NCS,2HM2 NCS
HM23 NCS,3HM2 NCS
 H3' NCS, H3* NCS
HO3' NCS,*HO3 NCS
 H4' NCS, H4* NCS
HO4' NCS,*HO4 NCS
 H5' NCS, H5* NCS
HM51 NCS,1HM5 NCS
HM52 NCS,2HM5 NCS
HM53 NCS,3HM5 NCS
 HC1 NCT, HC1 NCT
 HC3 NCT, HC3 NCT
 HC4 NCT, HC4 NCT
 HC5 NCT, HC5 NCT
 HC6 NCT, HC6 NCT
HC71 NCT,1HC7 NCT
HC72 NCT,2HC7 NCT
HC81 NCT,1HC8 NCT
HC82 NCT,2HC8 NCT
HC91 NCT,1HC9 NCT
HC92 NCT,2HC9 NCT
H101 NCT,1H10 NCT
H102 NCT,2H10 NCT
H103 NCT,3H10 NCT
HOP3 NCX,3HOP NCX
HOP2 NCX,2HOP NCX
 H5' NCX,1H5* NCX
H5'' NCX,2H5* NCX
 H4' NCX, H4* NCX
 H1' NCX, H1* NCX
 H8  NCX, H8  NCX
HH71 NCX,1HH7 NCX
HH72 NCX,2HH7 NCX
 H3  NCX, H3  NCX
 H2  NCX, H2  NCX
 H6  NCX, H6  NCX
 H3' NCX, H3* NCX
 H2' NCX,1H2* NCX
H2'' NCX,2H2* NCX
HO3' NCX,H3T  NCX
 H   NCY, HN  NCY
 HA  NCY, HA  NCY
 HB2 NCY,1HB  NCY
 HB3 NCY,2HB  NCY
 HG  NCY, HG  NCY
HCN1 NCY,1HCN NCY
HCN2 NCY,2HCN NCY
HCN3 NCY,3HCN NCY
 HXT NCY, HXT NCY
 H1  NCZ,1H   NCZ
 H7  NCZ,7H   NCZ
 H8  NCZ,8H   NCZ
 H12 NCZ,2H1  NCZ
 H13 NCZ,3H1  NCZ
 H14 NCZ,4H1  NCZ
 H15 NCZ,5H1  NCZ
 H16 NCZ,6H1  NCZ
 H6  NCZ,6H   NCZ
 H5  NCZ,5H   NCZ
 H2  NCZ,2H   NCZ
 H3  NCZ,3H   NCZ
H171 NCZ,1H17 NCZ
H172 NCZ,2H17 NCZ
H173 NCZ,3H17 NCZ
H181 NCZ,1H18 NCZ
H182 NCZ,2H18 NCZ
H183 NCZ,3H18 NCZ
HOA2 NDA,2HOA NDA
H51A NDA,AH51 NDA
H52A NDA,AH52 NDA
 H4B NDA,AH4* NDA
 H3B NDA,AH3* NDA
HO3A NDA,AHO3 NDA
 H2B NDA,AH2* NDA
HO2A NDA,AHO2 NDA
 H1B NDA,AH1* NDA
 H8A NDA, AH8 NDA
H61A NDA,AH61 NDA
H62A NDA,AH62 NDA
 H2A NDA, AH2 NDA
H51N NDA,NH51 NDA
H52N NDA,NH52 NDA
 H4D NDA,NH4* NDA
 H3D NDA,NH3* NDA
HO3N NDA,NHO3 NDA
 H2D NDA,NH2* NDA
HO2N NDA,NHO2 NDA
 H1D NDA,NH1* NDA
 H2N NDA, NH2 NDA
HC71 NDA,1HC7 NDA
HC72 NDA,2HC7 NDA
H71N NDA,NH71 NDA
H72N NDA,NH72 NDA
 H4N NDA, NH4 NDA
 H5N NDA, NH5 NDA
 H6N NDA, NH6 NDA
HOA2 NDC,2HOA NDC
H5'1 NDC,1H5' NDC
H5'2 NDC,2H5' NDC
 H4' NDC, H4' NDC
 H3' NDC, H3' NDC
HO'3 NDC,3HO' NDC
 H2' NDC, H2' NDC
HO'2 NDC,2HO' NDC
 H1' NDC, H1' NDC
 H8A NDC, H8A NDC
H6A1 NDC,1H6A NDC
H6A2 NDC,2H6A NDC
 H2A NDC, H2A NDC
H5A1 NDC,1H5* NDC
H5A2 NDC,2H5* NDC
 H4B NDC, H4* NDC
 H3B NDC, H3* NDC
HOA3 NDC,3HO* NDC
 H2B NDC, H2* NDC
HOB2 NDC,2HO* NDC
 H1B NDC, H1* NDC
 H2N NDC, H2N NDC
H7N1 NDC,1H7N NDC
H7N2 NDC,2H7N NDC
 H5N NDC, H5N NDC
 H6N NDC, H6N NDC
HC21 NDC,1HC2 NDC
HC22 NDC,2HC2 NDC
HC31 NDC,1HC3 NDC
HC32 NDC,2HC3 NDC
HC41 NDC,1HC4 NDC
HC42 NDC,2HC4 NDC
HC51 NDC,1HC5 NDC
HC52 NDC,2HC5 NDC
 HC6 NDC, HC6 NDC
 H1  NDD, H1  NDD
 H3  NDD, H3  NDD
 H4  NDD, H4  NDD
 H5  NDD, H5  NDD
 H7  NDD, H7  NDD
 H8  NDD, H8  NDD
 HO2 NDD, HO2 NDD
 HO4 NDD, HO4 NDD
H71N NDE,NH71 NDE
H72N NDE,NH72 NDE
 H5N NDE, NH5 NDE
 H6N NDE, NH6 NDE
 H2N NDE, NH2 NDE
 H1D NDE,NH1* NDE
 H2D NDE,NH2* NDE
HO2N NDE,NHO2 NDE
 H3D NDE,NH3* NDE
HO3N NDE,NHO3 NDE
 H4D NDE,NH4* NDE
H51N NDE,NH51 NDE
H52N NDE,NH52 NDE
HOA2 NDE,2HOA NDE
H51A NDE,AH51 NDE
H52A NDE,AH52 NDE
 H4B NDE,AH4* NDE
 H1B NDE,AH1* NDE
 H2B NDE,AH2* NDE
HO2A NDE,AHO2 NDE
 H3B NDE,AH3* NDE
HO3A NDE,AHO3 NDE
 H8A NDE, AH8 NDE
H61A NDE,AH61 NDE
H62A NDE,AH62 NDE
 H2A NDE, AH2 NDE
HOP2 NDE,2HOP NDE
HOP3 NDE,3HOP NDE
 H11 NDE,1H1  NDE
 H12 NDE,2H1  NDE
 H31 NDE,1H3  NDE
H311 NDE,1H31 NDE
 HD1 NDF, HD1 NDF
 HE1 NDF, HE1 NDF
 HZ  NDF, HZ  NDF
 HE2 NDF, HE2 NDF
 HD2 NDF, HD2 NDF
 HB3 NDF,1HB  NDF
 HB2 NDF,2HB  NDF
 HA  NDF, HA  NDF
 HXT NDF, HXT NDF
 H   NDF, HN  NDF
 HO1 NDF, HO1 NDF
 H1  NDG, H1  NDG
 H2  NDG, H2  NDG
 H3  NDG, H3  NDG
 H4  NDG, H4  NDG
 H5  NDG, H5  NDG
H6C1 NDG,1H6C NDG
H6C2 NDG,2H6C NDG
H8C1 NDG,1H8C NDG
H8C2 NDG,2H8C NDG
H8C3 NDG,3H8C NDG
 HB  NDG, HB  NDG
 HC  NDG, HC  NDG
 H6  NDG, H6  NDG
 HA  NDG, HA  NDG
 H1L NDG, H1L NDG
 HH2 NDH, HH2 NDH
 H1  NDH, H1  NDH
 H2  NDH, H2  NDH
