# 070712 hashmap of PDBv2 naming to PDBv3 naming scheme 
 C5' 2AU, C5* 2AU
 C4' 2AU, C4* 2AU
 O4' 2AU, O4* 2AU
 C3' 2AU, C3* 2AU
 O3' 2AU, O3* 2AU
 C2' 2AU, C2* 2AU
 C1' 2AU, C1* 2AU
 N2' 2AU, N2* 2AU
H1P1 2AU,1H1P 2AU
 OP1 2BD, O1P 2BD
 OP2 2BD, O2P 2BD
 OP3 2BD, O3P 2BD
 O5' 2BD, O5* 2BD
 C5' 2BD, C5* 2BD
 C4' 2BD, C4* 2BD
 O4' 2BD, O4* 2BD
 C1' 2BD, C1* 2BD
 C2' 2BD, C2* 2BD
 C3' 2BD, C3* 2BD
 O3' 2BD, O3* 2BD
 OP3 2BT, O3P 2BT
 OP2 2BT, O2P 2BT
 O5' 2BT, O5* 2BT
 C5' 2BT, C5* 2BT
 C4' 2BT, C4* 2BT
 O4' 2BT, O4* 2BT
 C1' 2BT, C1* 2BT
 C2' 2BT, C2* 2BT
 O2' 2BT, O2* 2BT
 CA' 2BT, CA* 2BT
 CB' 2BT, CB* 2BT
 CC' 2BT, CC* 2BT
 C3' 2BT, C3* 2BT
 O3' 2BT, O3* 2BT
 CD' 2BT, CD* 2BT
 OP1 2BT, O1P 2BT
 OP1 2BU, O1P 2BU
 OP2 2BU, O2P 2BU
 OP3 2BU, O3P 2BU
 O5' 2BU, O5* 2BU
 C5' 2BU, C5* 2BU
 C4' 2BU, C4* 2BU
 O4' 2BU, O4* 2BU
 C1' 2BU, C1* 2BU
 C2' 2BU, C2* 2BU
 C3' 2BU, C3* 2BU
 O3' 2BU, O3* 2BU
 OP1 2DA, O1P 2DA
 OP2 2DA, O2P 2DA
 OP3 2DA, O3P 2DA
 O5' 2DA, O5* 2DA
 C5' 2DA, C5* 2DA
 C4' 2DA, C4* 2DA
 O4' 2DA, O4* 2DA
 C3' 2DA, C3* 2DA
 C2' 2DA, C2* 2DA
 C1' 2DA, C1* 2DA
 O5' 2DF, O5* 2DF
 C5' 2DF, C5* 2DF
 C4' 2DF, C4* 2DF
 O4' 2DF, O4* 2DF
 C1' 2DF, C1* 2DF
 C3' 2DF, C3* 2DF
 C2' 2DF, C2* 2DF
 O3' 2DF, O3* 2DF
 C5' 2DI, C5* 2DI
 O5' 2DI, O5* 2DI
 C4' 2DI, C4* 2DI
 O4' 2DI, O4* 2DI
 C1' 2DI, C1* 2DI
 C2' 2DI, C2* 2DI
 C3' 2DI, C3* 2DI
 OP1 2DM, O1P 2DM
 OP2 2DM, O2P 2DM
 O3' 2DM, O3* 2DM
 OP3 2DM, O3P 2DM
 OP1 2DT, O1P 2DT
 OP2 2DT, O2P 2DT
 OP3 2DT, O3P 2DT
 O5' 2DT, O5* 2DT
 C2' 2DT, C2* 2DT
 C5' 2DT, C5* 2DT
 C4' 2DT, C4* 2DT
 O4' 2DT, O4* 2DT
 C1' 2DT, C1* 2DT
 C3' 2DT, C3* 2DT
 OP3 2EG, O3P 2EG
 OP1 2EG, O1P 2EG
 OP2 2EG, O2P 2EG
 O5' 2EG, O5* 2EG
 C5' 2EG, C5* 2EG
 C4' 2EG, C4* 2EG
 O4' 2EG, O4* 2EG
 C3' 2EG, C3* 2EG
 O3' 2EG, O3* 2EG
 C2' 2EG, C2* 2EG
 C1' 2EG, C1* 2EG
 O5' 2GP, O5* 2GP
 C5' 2GP, C5* 2GP
 C4' 2GP, C4* 2GP
 O4' 2GP, O4* 2GP
 C3' 2GP, C3* 2GP
 O3' 2GP, O3* 2GP
 C2' 2GP, C2* 2GP
 O2' 2GP, O2* 2GP
 C1' 2GP, C1* 2GP
 OP1 2GT, O1P 2GT
 OP2 2GT, O2P 2GT
 O5' 2GT, O5* 2GT
 C5' 2GT, C5* 2GT
 C4' 2GT, C4* 2GT
 O4' 2GT, O4* 2GT
 C1' 2GT, C1* 2GT
 C2' 2GT, C2* 2GT
 O2' 2GT, O2* 2GT
 C3' 2GT, C3* 2GT
 O3' 2GT, O3* 2GT
 OP3 2GT, O3P 2GT
 OP1 2MA, O1P 2MA
 OP2 2MA, O2P 2MA
 OP3 2MA, O3P 2MA
 O5' 2MA, O5* 2MA
 C5' 2MA, C5* 2MA
 C4' 2MA, C4* 2MA
 O4' 2MA, O4* 2MA
 C3' 2MA, C3* 2MA
 O3' 2MA, O3* 2MA
 C2' 2MA, C2* 2MA
 O2' 2MA, O2* 2MA
 C1' 2MA, C1* 2MA
 N1A 2MC, AN1 2MC
 C2A 2MC, AC2 2MC
 N3A 2MC, AN3 2MC
 C4A 2MC, AC4 2MC
 C5A 2MC, AC5 2MC
 C6A 2MC, AC6 2MC
 N6A 2MC, AN6 2MC
 N7A 2MC, AN7 2MC
 C8A 2MC, AC8 2MC
 N9A 2MC, AN9 2MC
 C1B 2MC,AC1* 2MC
 C2B 2MC,AC2* 2MC
 O2B 2MC,AO2* 2MC
 C3B 2MC,AC3* 2MC
 O3B 2MC,AO3* 2MC
 P3B 2MC,AP3* 2MC
 O7A 2MC, AO7 2MC
 O8A 2MC, AO8 2MC
 O9A 2MC, AO9 2MC
 C4B 2MC,AC4* 2MC
 O4B 2MC,AO4* 2MC
 C5B 2MC,AC5* 2MC
 O5B 2MC,AO5* 2MC
 P1A 2MC, AP1 2MC
 O1A 2MC, AO1 2MC
 O2A 2MC, AO2 2MC
 O3A 2MC, AO3 2MC
 P2A 2MC, AP2 2MC
 O4A 2MC, AO4 2MC
 O5A 2MC, AO5 2MC
 O6A 2MC, AO6 2MC
 CBP 2MC,PC11 2MC
 CCP 2MC,PC12 2MC
 CDP 2MC,PC13 2MC
 CEP 2MC,PC14 2MC
 CAP 2MC,PC10 2MC
 OAP 2MC,PO10 2MC
 C9P 2MC, PC9 2MC
 O9P 2MC, PO9 2MC
 N8P 2MC, PN8 2MC
 C7P 2MC, PC7 2MC
 C6P 2MC, PC6 2MC
 C5P 2MC, PC5 2MC
 O5P 2MC, PO5 2MC
 N4P 2MC, PN4 2MC
 C3P 2MC, PC3 2MC
 C2P 2MC, PC2 2MC
 S1P 2MC, PS1 2MC
 O5' 2MD, O5* 2MD
 C5' 2MD, C5* 2MD
 C4' 2MD, C4* 2MD
 O4' 2MD, O4* 2MD
 C1' 2MD, C1* 2MD
 C2' 2MD, C2* 2MD
 O2' 2MD, O2* 2MD
 C3' 2MD, C3* 2MD
 O3' 2MD, O3* 2MD
 CA' 2ME, CA* 2ME
 CB' 2ME, CB* 2ME
 OC' 2ME, OC* 2ME
 CD' 2ME, CD* 2ME
 OP1 2MG, O1P 2MG
 OP2 2MG, O2P 2MG
 OP3 2MG, O3P 2MG
 O5' 2MG, O5* 2MG
 C5' 2MG, C5* 2MG
 C4' 2MG, C4* 2MG
 O4' 2MG, O4* 2MG
 C3' 2MG, C3* 2MG
 O3' 2MG, O3* 2MG
 C2' 2MG, C2* 2MG
 O2' 2MG, O2* 2MG
 C1' 2MG, C1* 2MG
 C1' 2MU, C1* 2MU
 C2' 2MU, C2* 2MU
 O2' 2MU, O2* 2MU
 C3' 2MU, C3* 2MU
 C4' 2MU, C4* 2MU
 O3' 2MU, O3* 2MU
 O4' 2MU, O4* 2MU
 C5' 2MU, C5* 2MU
 O5' 2MU, O5* 2MU
 C6' 2MU, C6* 2MU
 OP1 2MU, O1P 2MU
 OP2 2MU, O2P 2MU
 OP3 2MU, O3P 2MU
 C1' 2ND, C1* 2ND
 O4' 2ND, O4* 2ND
 C2' 2ND, C2* 2ND
 C3' 2ND, C3* 2ND
 O3' 2ND, O3* 2ND
 C4' 2ND, C4* 2ND
 C5' 2ND, C5* 2ND
 O5' 2ND, O5* 2ND
 OP3 2NT, O3P 2NT
 OP2 2NT, O2P 2NT
 O5' 2NT, O5* 2NT
 C5' 2NT, C5* 2NT
 C4' 2NT, C4* 2NT
 O4' 2NT, O4* 2NT
 C1' 2NT, C1* 2NT
 C2' 2NT, C2* 2NT
 O2' 2NT, O2* 2NT
 C3' 2NT, C3* 2NT
 O3' 2NT, O3* 2NT
 OP1 2NT, O1P 2NT
 OP1 2OT, O1P 2OT
 OP2 2OT, O2P 2OT
 O5' 2OT, O5* 2OT
 C5' 2OT, C5* 2OT
 C4' 2OT, C4* 2OT
 O4' 2OT, O4* 2OT
 C1' 2OT, C1* 2OT
 C2' 2OT, C2* 2OT
 O2' 2OT, O2* 2OT
 C3' 2OT, C3* 2OT
 O3' 2OT, O3* 2OT
 OP3 2OT, O3P 2OT
 OP3 2PR, O3P 2PR
 OP1 2PR, O1P 2PR
 OP2 2PR, O2P 2PR
 O5' 2PR, O5* 2PR
 C5' 2PR, C5* 2PR
 C4' 2PR, C4* 2PR
 O4' 2PR, O4* 2PR
 C3' 2PR, C3* 2PR
 O3' 2PR, O3* 2PR
 C2' 2PR, C2* 2PR
 C1' 2PR, C1* 2PR
 OP3 2ST, O3P 2ST
 OP1 2ST, O1P 2ST
 OP2 2ST, O2P 2ST
 O5' 2ST, O5* 2ST
 C2' 2ST, C2* 2ST
 C5' 2ST, C5* 2ST
 C4' 2ST, C4* 2ST
 O4' 2ST, O4* 2ST
 C1' 2ST, C1* 2ST
 C3' 2ST, C3* 2ST
 CA' 2ST, CA* 2ST
 O3' 2ST, O3* 2ST
 N1' 2TP, N1* 2TP
 C2' 2TP, C2* 2TP
 N3' 2TP, N3* 2TP
 C4' 2TP, C4* 2TP
 N4' 2TP, N4* 2TP
 C5' 2TP, C5* 2TP
 C6' 2TP, C6* 2TP
 C2' 2VA, C2* 2VA
 C3' 2VA, C3* 2VA
 O3' 2VA, O3* 2VA
 C4' 2VA, C4* 2VA
 C5' 2VA, C5* 2VA
 O5' 2VA, O5* 2VA
 O4' 2VA, O4* 2VA
 C1' 2VA, C1* 2VA
 CVX 312,C31' 312
 CWX 312,C32' 312
 OXX 312,O33' 312
 OYX 312,O34' 312
 C6X 312,C42' 312
 C7X 312,C43' 312
 O8X 312,O44' 312
 O9X 312,O45' 312
 C1B 312,C1'' 312
 C2B 312,C2'' 312
 C3B 312,C3'' 312
 C4B 312,C4'' 312
 C5B 312,C5'' 312
 C6B 312,C6'' 312
 O2B 312,O2'' 312
 CV' 334,C31' 334
H2'1 34B,1H2' 34B
H2'2 34B,2H2' 34B
H4'1 34B,1H4' 34B
H4'2 34B,2H4' 34B
 C1' 357, C1* 357
 C7' 357, C7* 357
 N1' 357, N1" 357
 C6' 357, C6" 357
 C2' 357, C2" 357
 C3' 357, C3" 357
 O4' 357, O4" 357
 C5' 357, C5" 357
 C6B 357, C6* 357
 C5B 357, C5* 357
 C4' 357, C4* 357
 C3B 357, C3* 357
 C8' 357, C8* 357
 C2B 357, C2* 357
 O5' 35G, O5* 35G
 C5' 35G, C5* 35G
 C4' 35G, C4* 35G
 O4' 35G, O4* 35G
 C3' 35G, C3* 35G
 O3' 35G, O3* 35G
 C2' 35G, C2* 35G
 O2' 35G, O2* 35G
 C1' 35G, C1* 35G
 PA  3AA, AP  3AA
 O1A 3AA, AO1 3AA
 O2A 3AA, AO2 3AA
 O5B 3AA,AO5* 3AA
 C5B 3AA,AC5* 3AA
 C4B 3AA,AC4* 3AA
 O4B 3AA,AO4* 3AA
 C1B 3AA,AC1* 3AA
 N9A 3AA, AN9 3AA
 C4A 3AA, AC4 3AA
 N3A 3AA, AN3 3AA
 C2A 3AA, AC2 3AA
 N1A 3AA, AN1 3AA
 C6A 3AA, AC6 3AA
 N6A 3AA, AN6 3AA
 C5A 3AA, AC5 3AA
 N7A 3AA, AN7 3AA
 C8A 3AA, AC8 3AA
 C2B 3AA,AC2* 3AA
 O2B 3AA,AO2* 3AA
 P2B 3AA,AP2* 3AA
 O1X 3AA,AOP1 3AA
 O2X 3AA,AOP2 3AA
 O3X 3AA,AOP3 3AA
 C3B 3AA,AC3* 3AA
 O3B 3AA,AO3* 3AA
 PN  3AA, NP  3AA
 O1N 3AA, NO1 3AA
 O2N 3AA, NO2 3AA
 O5D 3AA,NO5* 3AA
 C5D 3AA,NC5* 3AA
 C4D 3AA,NC4* 3AA
 O4D 3AA,NO4* 3AA
 C3D 3AA,NC3* 3AA
 O3D 3AA,NO3* 3AA
 C2D 3AA,NC2* 3AA
 O2D 3AA,NO2* 3AA
 C1D 3AA,NC1* 3AA
 N1N 3AA, NN1 3AA
 C2N 3AA, NC2 3AA
 C4N 3AA, NC4 3AA
 C5N 3AA, NC5 3AA
 C6N 3AA, NC6 3AA
 C3N 3AA, NC3 3AA
 N7N 3AA, NN7 3AA
 O5' 3AD, O5* 3AD
 C5' 3AD, C5* 3AD
 C4' 3AD, C4* 3AD
 O4' 3AD, O4* 3AD
 C3' 3AD, C3* 3AD
 C2' 3AD, C2* 3AD
 O2' 3AD, O2* 3AD
 C1' 3AD, C1* 3AD
 O5' 3AN, O5* 3AN
 C5' 3AN, C5* 3AN
 C4' 3AN, C4* 3AN
 O4' 3AN, O4* 3AN
 C3' 3AN, C3* 3AN
 N3' 3AN, N3* 3AN
 C2' 3AN, C2* 3AN
 O2' 3AN, O2* 3AN
 C1' 3AN, C1* 3AN
 O5' 3AT, O5* 3AT
 C5' 3AT, C5* 3AT
 C4' 3AT, C4* 3AT
 O4' 3AT, O4* 3AT
 C3' 3AT, C3* 3AT
 C2' 3AT, C2* 3AT
 O2' 3AT, O2* 3AT
 C1' 3AT, C1* 3AT
 O5' 3D1, O5* 3D1
 C5' 3D1, C5* 3D1
 C4' 3D1, C4* 3D1
 O4' 3D1, O4* 3D1
 C1' 3D1, C1* 3D1
 C2' 3D1, C2* 3D1
 C3' 3D1, C3* 3D1
 O3' 3D1, O3* 3D1
 O5' 3DA, O5* 3DA
 C5' 3DA, C5* 3DA
 C4' 3DA, C4* 3DA
 O4' 3DA, O4* 3DA
 C1' 3DA, C1* 3DA
 C2' 3DA, C2* 3DA
 O2' 3DA, O2* 3DA
 C3' 3DA, C3* 3DA
 O5' 3DR, O5* 3DR
 OP1 3DR, O1P 3DR
 OP2 3DR, O2P 3DR
 OP3 3DR, O3P 3DR
 C2' 3DR, C2* 3DR
 C5' 3DR, C5* 3DR
 C4' 3DR, C4* 3DR
 O4' 3DR, O4* 3DR
 C1' 3DR, C1* 3DR
 C3' 3DR, C3* 3DR
 O3' 3DR, O3* 3DR
 O5' 3GP, O5* 3GP
 C5' 3GP, C5* 3GP
 C4' 3GP, C4* 3GP
 O4' 3GP, O4* 3GP
 C3' 3GP, C3* 3GP
 O3' 3GP, O3* 3GP
 C2' 3GP, C2* 3GP
 O2' 3GP, O2* 3GP
 C1' 3GP, C1* 3GP
 N1A 3HC, AN1 3HC
 C2A 3HC, AC2 3HC
 N3A 3HC, AN3 3HC
 C4A 3HC, AC4 3HC
 C5A 3HC, AC5 3HC
 C6A 3HC, AC6 3HC
 N6A 3HC, AN6 3HC
 N7A 3HC, AN7 3HC
 C8A 3HC, AC8 3HC
 N9A 3HC, AN9 3HC
 C1B 3HC,AC1* 3HC
 C2B 3HC,AC2* 3HC
 O2B 3HC,AO2* 3HC
 C3B 3HC,AC3* 3HC
 O3B 3HC,AO3* 3HC
 P3B 3HC,AP3* 3HC
 O7A 3HC, AO7 3HC
 O8A 3HC, AO8 3HC
 O9A 3HC, AO9 3HC
 C4B 3HC,AC4* 3HC
 O4B 3HC,AO4* 3HC
 C5B 3HC,AC5* 3HC
