#pdbId,resol,eff.resol
1ylt,1.1,2.38662996788355
1ong,1.1,1.52818081319727
1rg8,1.1,1.88369210310684
1c5e,1.1,1.81724365846990
1ls1,1.1,2.17181246339163
1uoz,1.1,1.77973462619121
1v0n,1.1,1.50963194359051
2b3h,1.1,1.93515938049569
1nnf,1.1,2.34350157333003
1t2d,1.1,2.04611683671738
1pwl,1.1,1.84052303347034
1ys1,1.1,1.45314869453146
1r0r,1.1,2.00942782160244
2bwi,1.1,2.37831804726053
2abs,1.1,2.40011031111082
1yfq,1.1,2.71060564165728
1pwc,1.1,1.93035240545575
1kdv,1.1,2.05121499314003
1kdy,1.1,1.96273308828285
2ab0,1.1,2.15138585196524
1h4g,1.1,2.01850801830063
1itx,1.1,2.05545994339101
2a70,1.1,2.16278385509567
1g8t,1.1,2.44807316219095
1xf6,1.1,1.91521651082091
1o5x,1.1,2.27394162435750
1jcj,1.1,1.77987862979211
1sby,1.1,2.74218844855516
1zl0,1.1,2.28810883007856
1su8,1.1,2.67555114510336
1wuk,1.1,2.60294676129166
1wcg,1.1,2.03765238497976
1jm1,1.11,1.35921988788359
1i1x,1.11,1.78919009059992
1oc7,1.11,1.7318904047955
1g2b,1.12,1.81588864564720
1tuk,1.12,2.43599293346214
1sau,1.12,2.03837222678233
1jse,1.12,2.75247663357259
1jf8,1.12,2.23382766585795
1lu4,1.12,2.9821949914874
1a7s,1.12,2.69436004684096
1k7c,1.12,1.99391265899494
2eut,1.12,1.61748730256165
2bw5,1.12,2.29158715616809
1oe2,1.12,1.78505701869691
1mpl,1.12,1.64181142802475
1ra0,1.12,2.08161244315564
1ym1,1.12,2.21018339235620
1h1n,1.12,1.87731804326933
1su7,1.12,2.66368866259025
2ccw,1.13,2.23473071687867
1wtn,1.13,1.77585621717824
1u07,1.13,2.71170854377295
1v7t,1.13,2.64504030488335
1z53,1.13,2.14949485161264
1scw,1.13,1.80634489609815
1n8k,1.13,2.1529040674396
1v7s,1.14,1.91233981870227
1wyx,1.14,1.84340507231872
1kng,1.14,2.24556874651980
1odv,1.14,2.23038405082817
1k6a,1.14,1.74658907116896
1gok,1.14,2.05668378685749
1p6o,1.14,2.27499136139149
1rxj,1.14,2.57652936225878
1swu,1.14,2.42605268049398
1g2z,1.15,2.22384404857348
1hg7,1.15,1.85878763067626
1vfy,1.15,1.8860215752331
1k8u,1.15,1.92854070863818
1xmt,1.15,1.86990612002928
1zmi,1.15,2.31183716066909
1j0o,1.15,2.82726352245992
1i8o,1.15,2.10660298660062
1b9o,1.15,2.88866551646047
1kf5,1.15,1.76651136328847
1kf7,1.15,1.93215110475516
1kf8,1.15,2.56853464762626
1f98,1.15,2.57035613031331
1jsf,1.15,2.10096337138389
1t3y,1.15,2.17295745386265
1o8s,1.15,2.03387914989712
1xt5,1.15,2.40254556916319
2bzv,1.15,2.14582836551221
1a6g,1.15,2.19646862705227
1a6n,1.15,2.50422625960858
2bwf,1.15,1.44542478968284
1u7r,1.15,2.28053287987626
1bzp,1.15,2.2463473566433
1bzr,1.15,1.84389642409125
1gwm,1.15,2.84531574030552
1h4a,1.15,2.24927824262593
1sy0,1.15,2.42801554547881
1d2u,1.15,2.95021848980158
1rge,1.15,2.06297982931226
1agy,1.15,1.55975213528263
2fhz,1.15,2.27051591612325
1hdo,1.15,2.02244519703739
1xod,1.15,1.83894627657268
2awk,1.15,2.07530239268124
1uto,1.15,1.965372502366
1utq,1.15,2.13925550264974
1utn,1.15,2.46655497733461
1oxd,1.15,2.36616728700347
1vzi,1.15,2.41672610821241
2fov,1.15,2.09554838835771
1z70,1.15,1.94556336499999
1tkj,1.15,1.69755213558560
1hf6,1.15,2.07232910540893
1h2j,1.15,2.18904376072014
1q0e,1.15,2.05934626361763
1b6g,1.15,2.20728117473757
1odm,1.15,1.61853116934415
1kcd,1.15,2.58047648529925
2bwd,1.15,2.23676528975044
1oe3,1.15,2.17485955925073
1sde,1.15,2.00338328049468
1i4u,1.15,2.36133721904093
1e9g,1.15,1.99003079938182
1suf,1.15,2.51870722666065
1het,1.15,2.22919892394675
1heu,1.15,2.25618794366000
1npi,1.16,1.93374853784114
1kou,1.16,2.55043647836359
1tzb,1.16,2.18731722196407
1x9i,1.16,2.02890457108197
1hbn,1.16,2.06660564743342
1mro,1.16,2.27698461267574
1m1n,1.16,2.30220499990476
1c9o,1.17,2.54981354149226
1sl9,1.17,2.31457742288766
1czp,1.17,2.53680597780654
1wkq,1.17,2.52862577352037
1hvb,1.17,2.00736822724390
1kq6,1.18,3.34991590788713
1tjm,1.18,2.66830088689509
1n3l,1.18,3.11711170522031
1t1g,1.18,2.48213886237971
1t1e,1.18,2.72652791573599
1ubk,1.18,2.958627083092
2frg,1.19,2.67937463928738
2fj8,1.19,2.10187058492874
1ljn,1.19,1.74428079005893
1ifc,1.19,2.69271675088330
1gu2,1.19,2.08729052202911
1lqp,1.19,1.89459434662585
1uwk,1.19,2.54856261106649
1n60,1.19,2.48037872848320
1sen,1.2,1.29211415049004
1bx7,1.2,2.32569606174160
1irn,1.2,1.08240325658230
1bq9,1.2,1.9626546242621
5rxn,1.2,2.88113412232176
4rxn,1.2,3.51087824394272
2knt,1.2,2.88546468574475
1y0m,1.2,1.71254314862498
